,mean_neff,mean_mean,mean_std,ap,nevals
4,0.002504437881441801,0.07375000000000001,0.08124999999999999,0.21620851930652007,127313.0
8,0.004848985381155569,0.013375000000000012,0.012874999999999998,0.19245817867972187,667221.0
12,0.000589276166494954,0.04958333333333333,0.04541666666666666,0.1908540883122134,1049233.0
16,5.9560149991808056e-05,0.4085625,0.166,0.595573322512392,567631.0
20,9.906634457096657e-06,0.68995,0.25279999999999997,0.9741168898603059,205322.0
24,7.974744271519408e-06,0.6453333333333334,0.24120833333333333,0.9757595748211318,204970.0
28,7.817423595416808e-06,0.42125000000000007,0.29757142857142854,0.9792676638703307,204237.0
32,6.392035105954121e-06,0.5816250000000001,0.30459375,0.9714423331156696,205891.0
36,5.589250094344709e-06,0.5062222222222222,0.2688333333333333,0.9704087998520952,206100.0
40,8.71369395238742e-06,0.5952999999999999,0.25435,0.9701084777112343,206164.0
44,7.626333145575662e-06,0.5906136363636364,0.26436363636363636,0.9696590978316801,206262.0
48,7.824673487860861e-06,0.6171875,0.25908333333333333,0.9699718338815017,206220.0
52,7.527448495519643e-06,0.622923076923077,0.28965384615384615,0.9720653035494702,205770.0
56,7.013343365664051e-06,0.6461785714285714,0.28160714285714283,0.9603011083784798,208279.0
60,6.1254630780904286e-06,0.5673833333333335,0.2577333333333333,0.956453496969575,209108.0
64,7.565234838273327e-06,0.6420468749999999,0.330078125,0.9526025397393785,209953.0
68,7.06147172157177e-06,0.7142058823529411,0.29594117647058815,0.9540300357040281,209688.0
72,6.010948217270804e-06,0.6495000000000001,0.29618055555555556,0.9610780288563029,208111.0
76,6.296924058250633e-06,0.5905789473684211,0.3088684210526316,0.951735682454969,210159.0
80,7.126173241271371e-06,0.607575,0.319925,0.9543425795546265,209569.0
84,6.157997304147502e-06,0.667345238095238,0.30723809523809525,0.9581078666183245,208751.0
88,6.745469407952811e-06,0.555034090909091,0.31167045454545456,0.9450209808357262,211637.0
92,5.819638649514142e-06,0.6825,0.2950326086956521,0.9564174813035273,209155.0
96,5.9781355779719536e-06,0.5511145833333333,0.306375,0.9639498523188333,207487.0
100,6.030730444913432e-06,0.6333000000000001,0.30989000000000005,0.9549553828269737,209434.0
